,Longitude,Latitude,Altitude,Time,Speed
0,151.22550434432924,-33.873671209439635,80.19999694824219,2019-06-28 20:56:08+00:00,0.961342240550434
1,151.22550459578633,-33.8736798427999,80.19999694824219,2019-06-28 20:56:09+00:00,0.8509752545744215
2,151.2255026679486,-33.87368604540825,80.4000015258789,2019-06-28 20:56:10+00:00,0.9419673745844348
3,151.22550141066313,-33.873696103692055,80.19999694824219,2019-06-28 20:56:11+00:00,1.719493035402579
4,151.22549344785511,-33.87371487915516,79.5999984741211,2019-06-28 20:56:12+00:00,2.1908945731223843
5,151.22547609731555,-33.873726865276694,79.5999984741211,2019-06-28 20:56:13+00:00,2.500193374781433
6,151.22545891441405,-33.87374874204397,79.80000305175781,2019-06-28 20:56:14+00:00,3.1327672368011696
7,151.2254347745329,-33.87377120554447,79.80000305175781,2019-06-28 20:56:15+00:00,3.158044466783909
8,151.22542773373425,-33.8737971894443,79.80000305175781,2019-06-28 20:56:16+00:00,3.3982701630072203
9,151.22542538680136,-33.87383155524731,79.80000305175781,2019-06-28 20:56:17+00:00,3.4671209908732714
10,151.22541557997465,-33.87385820969939,79.80000305175781,2019-06-28 20:56:18+00:00,2.5129264889666594
11,151.22540233656764,-33.873871536925435,79.80000305175781,2019-06-28 20:56:19+00:00,2.189963002894513
12,151.22539311647415,-33.87389215640724,80.0,2019-06-28 20:56:20+00:00,2.318115867331415
13,151.22537760995328,-33.87390690855682,80.0,2019-06-28 20:56:21+00:00,2.024885229207742
14,151.2253607623279,-33.87391621246934,80.0,2019-06-28 20:56:22+00:00,1.786566112717479
15,151.22534349560738,-33.87392124161124,79.80000305175781,2019-06-28 20:56:23+00:00,1.8521041430612841
16,151.2253298331052,-33.873935071751475,79.5999984741211,2019-06-28 20:56:24+00:00,2.38425731589082
17,151.22530820779502,-33.873952170833945,79.4000015258789,2019-06-28 20:56:25+00:00,3.3058512431904488
18,151.22528339736164,-33.87397983111441,79.5999984741211,2019-06-28 20:56:26+00:00,3.282036931888247
19,151.22526009567082,-33.87399475090206,79.5999984741211,2019-06-28 20:56:27+00:00,3.220535106777988
20,151.2252434156835,-33.87402517721057,79.5999984741211,2019-06-28 20:56:28+00:00,3.466482262947499
21,151.22522531077266,-33.87404973618686,79.80000305175781,2019-06-28 20:56:29+00:00,3.209743546178433
22,151.22520318254828,-33.874071864411235,80.0,2019-06-28 20:56:30+00:00,3.3573745172291507
23,151.2251762766391,-33.87409407645464,80.0,2019-06-28 20:56:31+00:00,3.3436389070526977
24,151.22515255585313,-33.87411469593644,80.19999694824219,2019-06-28 20:56:32+00:00,2.8270961607384133
25,151.22513218782842,-33.8741291128099,80.19999694824219,2019-06-28 20:56:33+00:00,2.3844755624539618
26,151.2251109816134,-33.874139841645956,80.19999694824219,2019-06-28 20:56:34+00:00,2.1345137133250303
27,151.22509413398802,-33.87415073812008,80.19999694824219,2019-06-28 20:56:35+00:00,2.0812496220143615
28,151.22508038766682,-33.87416674755514,80.19999694824219,2019-06-28 20:56:36+00:00,2.5010039511039905
29,151.22506035491824,-33.874185690656304,80.0,2019-06-28 20:56:37+00:00,2.7036365129955597
30,151.22504141181707,-33.874202789738774,80.19999694824219,2019-06-28 20:56:38+00:00,2.7009081569493145
31,151.2250211276114,-33.87422148138285,80.0,2019-06-28 20:56:39+00:00,3.0980968147575014
32,151.2249957304448,-33.874243358150125,80.19999694824219,2019-06-28 20:56:40+00:00,3.4271384501038975
33,151.22496874071658,-33.874264899641275,80.0,2019-06-28 20:56:41+00:00,3.0293768980021643
34,151.2249436788261,-33.874275209382176,80.19999694824219,2019-06-28 20:56:42+00:00,2.636011680715308
35,151.2249151803553,-33.8742792326957,80.4000015258789,2019-06-28 20:56:43+00:00,2.674617457435361
36,151.22488643042743,-33.87428074143827,80.5999984741211,2019-06-28 20:56:44+00:00,2.838367860656109
37,151.22485441155732,-33.87428551912308,80.5999984741211,2019-06-28 20:56:45+00:00,3.0293879297285207
38,151.2248221412301,-33.87429105117917,80.80000305175781,2019-06-28 20:56:46+00:00,2.974752296220266
39,151.22479104436934,-33.87429381720722,81.0,2019-06-28 20:56:47+00:00,2.971096272322895
40,151.22475877404213,-33.874299013987184,81.19999694824219,2019-06-28 20:56:48+00:00,2.73991596398007
41,151.2247325386852,-33.874301025643945,81.19999694824219,2019-06-28 20:56:49+00:00,2.345558830537514
42,151.2247087340802,-33.8743051327765,81.4000015258789,2019-06-28 20:56:50+00:00,2.3904853607279817
43,151.22468182817101,-33.8743067253381,81.80000305175781,2019-06-28 20:56:51+00:00,2.49108672857413
44,151.22465576045215,-33.87430429458618,82.19999694824219,2019-06-28 20:56:52+00:00,2.26419131817124
45,151.22463430278003,-33.87429893016815,82.19999694824219,2019-06-28 20:56:53+00:00,1.7618849328013932
46,151.22461921535432,-33.8742982596159,82.5999984741211,2019-06-28 20:56:54+00:00,1.6113559556191857
47,151.22460018843412,-33.8742980081588,82.80000305175781,2019-06-28 20:56:55+00:00,1.9989501876242612
48,151.2245766352862,-33.874294152483344,83.0,2019-06-28 20:56:56+00:00,2.3560846674346174
49,151.2245501484722,-33.874290799722075,83.19999694824219,2019-06-28 20:56:57+00:00,2.5940596576817336
50,151.22452097944915,-33.87429038062692,83.4000015258789,2019-06-28 20:56:58+00:00,2.5180315479334574
51,151.22449583373964,-33.87428862042725,83.4000015258789,2019-06-28 20:56:59+00:00,2.4367587748646344
52,151.22446842491627,-33.87428845278919,83.5999984741211,2019-06-28 20:57:00+00:00,2.567852276098563
