lon,lat
151.2256413884460926055908203125,-33.87372183613479137420654296875
151.22565220110118389129638671875,-33.87369920499622821807861328125
151.22566125355660915374755859375,-33.87368495576083660125732421875
151.23,-33.8736657612025737762451171875
151.22566963545978069305419921875,-33.87364757247269153594970703125
151.22567047365009784698486328125,-33.8736238516867160797119140625
151.22566225938498973846435546875,-33.8736047409474849700927734375
151.2256675399839878082275390625,-33.87
151.2256678752601146697998046875,-33.87356978841125965118408203125
151.2256641872227191925048828125,-33.8735581375658512115478515625
151.22566158883273601531982421875,-33.87354564853012561798095703125
151.2256641872227191925048828125,-33.87353005819022655487060546875
151.22566041536629199981689453125,-33.8735111989080905914306640625
151.23,-33.8734863884747028350830078125
151.23,-33.87346652336418628692626953125
151.22562470845878124237060546875,-33.8734518550336360931396484375
151.22560710646212100982666015625,-33.87343634851276874542236328125
151.2255900911986827850341796875,-33.87342159636318683624267578125
151.2256001494824886322021484375,-33.8734173215925693511962890625
151.22559755109250545501708984375,-33.87342427857220172882080078125
151.22558011673390865325927734375,-33.87
151.22553535737097263336181640625,-33.8734193332493305206298828125
151.23,-33.87341707013547420501708984375
151.22544500045478343963623046875,-33.87341623194515705108642578125
151.2254318408668041229248046875,-33.87340885587036609649658203125
151.22542203404009342193603515625,-33.87340399436652660369873046875
151.23,-33.87339326553046703338623046875
151.22538817115128040313720703125,-33.8733804412186145782470703125
151.2253627739846706390380859375,-33.87
151.22533955611288547515869140625,-33.87
151.22532279230654239654541015625,-33.87335001491010189056396484375
151.23,-33.87333895079791545867919921875
151.2252849899232387542724609375,-33.87
151.22527585364878177642822265625,-33.87332302518188953399658203125
151.22525808401405811309814453125,-33.8733103685081005096435546875
151.22524802573025226593017578125,-33.87331011705100536346435546875
151.2252481095492839813232421875,-33.87330609373748302459716796875
151.2252403981983661651611328125,-33.87329368852078914642333984375
151.2252444215118885040283203125,-33.87
151.22521449811756610870361328125,-33.8732315786182880401611328125
151.23,-33.87316812761127948760986328125
151.22514207847416400909423828125,-33.87
151.2251240573823451995849609375,-33.8731175847351551055908203125
151.23,-33.87
151.22504367493093013763427734375,-33.8730555586516857147216796875
151.23,-33.87
151.22497896663844585418701171875,-33.87301540933549404144287109375
151.22495532967150211334228515625,-33.87298271991312503814697265625
151.22,-33.8729680515825748443603515625
151.22492247261106967926025390625,-33.87295019812881946563720703125
151.22,-33.87292589060962200164794921875
151.22490855865180492401123046875,-33.87291030026972293853759765625
151.22,-33.87
151.22489531524479389190673828125,-33.87287979014217853546142578125
151.22489749453961849212646484375,-33.87
151.22490520589053630828857421875,-33.87283754535019397735595703125
151.22491459362208843231201171875,-33.8728238828480243682861328125
151.22491291724145412445068359375,-33.8728051073849201202392578125
151.22,-33.87279027141630649566650390625
151.22491610236465930938720703125,-33.87276411987841129302978515625
151.22490989975631237030029296875,-33.8727454282343387603759765625
151.22489799745380878448486328125,-33.87272187508642673492431640625
151.2248997576534748077392578125,-33.87270527891814708709716796875
151.22490319423377513885498046875,-33.87269270606338977813720703125
151.22490202076733112335205078125,-33.8726616092026233673095703125
151.2249051220715045928955078125,-33.87
151.22,-33.87262263335287570953369140625
151.2249145098030567169189453125,-33.87260788120329380035400390625
151.22,-33.87258089147508144378662109375
151.2249135039746761322021484375,-33.87
151.22,-33.8725425861775875091552734375
151.2249413318932056427001953125,-33.87
151.2249443493783473968505859375,-33.8725087232887744903564453125
151.22494996525347232818603515625,-33.87
151.22495080344378948211669921875,-33.87247779406607151031494140625
151.22496119700372219085693359375,-33.87
151.2249788828194141387939453125,-33.8724513910710811614990234375
151.22498014010488986968994140625,-33.87243202887475490570068359375
151.22,-33.8724010996520519256591796875
151.22497276403009891510009765625,-33.8723933883011341094970703125
151.2249493785202503204345703125,-33.8723648898303508758544921875
151.22,-33.87234200723469257354736328125
151.22,-33.8723092339932918548583984375
151.2249078042805194854736328125,-33.87230043299496173858642578125
151.22,-33.87
151.22,-33.87228182516992092132568359375
151.22488223947584629058837890625,-33.87225986458361148834228515625
151.2248860113322734832763671875,-33.87
151.22488106600940227508544921875,-33.87
151.22489229775965213775634765625,-33.8721985928714275360107421875
151.22490067966282367706298828125,-33.8721898756921291351318359375
151.2249044515192508697509765625,-33.87
151.22491107322275638580322265625,-33.87216431088745594024658203125
151.22,-33.87214855290949344635009765625
151.22491593472659587860107421875,-33.87213346548378467559814453125
151.22,-33.87211167253553867340087890625
151.22490839101374149322509765625,-33.8720939867198467254638671875
151.22490671463310718536376953125,-33.87207445688545703887939453125
151.2249165214598178863525390625,-33.87206825427711009979248046875
151.22493756003677845001220703125,-33.87206037528812885284423828125
151.22494912706315517425537109375,-33.87
151.22,-33.87
151.2249865941703319549560546875,-33.87204327620565891265869140625
151.2250016815960407257080078125,-33.8720353133976459503173828125
151.22498164884746074676513671875,-33.87
151.2250020168721675872802734375,-33.87
151.23,-33.87189575470983982086181640625
151.23,-33.87
151.22503277845680713653564453125,-33.87184563092887401580810546875
151.22503696940839290618896484375,-33.8718220777809619903564453125
151.22502858750522136688232421875,-33.8717781566083431243896484375
151.23,-33.87
151.2250378914177417755126953125,-33.8716886378824710845947265625
151.2250388972461223602294921875,-33.8716655038297176361083984375
151.22504300437867641448974609375,-33.8716527633368968963623046875
151.23,-33.87
151.22504015453159809112548828125,-33.8716128654778003692626953125
151.23,-33.87
151.2250472791492938995361328125,-33.87
151.22504702769219875335693359375,-33.87160825543105602264404296875
151.22504166327416896820068359375,-33.8715994544327259063720703125
151.22503847815096378326416015625,-33.87159585021436214447021484375
151.23,-33.87159517966210842132568359375
151.22502154670655727386474609375,-33.87
151.22500763274729251861572265625,-33.8715572096407413482666015625
151.22498114593327045440673828125,-33.87150784023106098175048828125
151.22498600743710994720458984375,-33.87147230096161365509033203125
151.22498349286615848541259765625,-33.87144464068114757537841796875
151.22,-33.87141413055360317230224609375
151.22,-33.8713795132935047149658203125
151.22497645206749439239501953125,-33.87135763652622699737548828125
151.22,-33.87133081443607807159423828125
151.22,-33.8713111169636249542236328125
151.22498550452291965484619140625,-33.87129276059567928314208984375
151.22,-33.87127934955060482025146484375
151.22,-33.87126375921070575714111328125
151.22499438934028148651123046875,-33.87123827822506427764892578125
151.22,-33.87119100429117679595947265625
